File,Date,speed_rpm,Current,Voltage,means,anomaly_score,is_anomaly,suggestion
MOTOR-DC_2020_12_02_17_27_07_Analogico.hdf5,"02/12/2020 17:27:06,816",7865.331823,1.88305,2.975454,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.10817146512858539,False,
MOTOR-DC_2020_12_02_17_27_11_Analogico.hdf5,"02/12/2020 17:27:11,218",7907.491647,1.402463,2.91669,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1057657012443286,False,
MOTOR-DC_2020_12_02_17_27_16_Analogico.hdf5,"02/12/2020 17:27:15,612",7931.885221,1.723915,2.952074,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15347368284099805,False,
MOTOR-DC_2020_12_02_17_27_20_Analogico.hdf5,"02/12/2020 17:27:20,013",7911.059418,1.370636,2.976085,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14548735320927625,False,
MOTOR-DC_2020_12_02_17_27_24_Analogico.hdf5,"02/12/2020 17:27:24,413",7837.981102,1.844857,2.944176,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1203768953935952,False,
MOTOR-DC_2020_12_02_17_27_29_Analogico.hdf5,"02/12/2020 17:27:28,813",7924.02196,1.819396,2.94544,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14264233375659968,False,
MOTOR-DC_2020_12_02_17_27_33_Analogico.hdf5,"02/12/2020 17:27:33,213",7901.606212,1.84804,2.941649,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13803979941501993,False,
MOTOR-DC_2020_12_02_17_27_38_Analogico.hdf5,"02/12/2020 17:27:37,613",7893.597421,1.440656,2.967239,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16093749452531952,False,
MOTOR-DC_2020_12_02_17_27_42_Analogico.hdf5,"02/12/2020 17:27:42,018",7889.313308,1.695271,2.951127,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1686339090277083,False,
MOTOR-DC_2020_12_02_17_27_46_Analogico.hdf5,"02/12/2020 17:27:46,414",7842.145979,1.192406,2.987143,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.09468400817680822,False,
MOTOR-DC_2020_12_02_17_27_51_Analogico.hdf5,"02/12/2020 17:27:50,819",7867.752848,1.262425,2.985879,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12497425915072513,False,
MOTOR-DC_2020_12_02_17_27_55_Analogico.hdf5,"02/12/2020 17:27:55,213",7885.031949,1.622069,2.958709,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17525137950277636,False,
MOTOR-DC_2020_12_02_17_28_00_Analogico.hdf5,"02/12/2020 17:27:59,615",7866.266009,1.701636,2.949231,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16394583107456023,False,
MOTOR-DC_2020_12_02_17_28_04_Analogico.hdf5,"02/12/2020 17:28:04,020",7913.081785,1.450204,2.971346,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15628982366149136,False,
MOTOR-DC_2020_12_02_17_28_08_Analogico.hdf5,"02/12/2020 17:28:08,414",7875.288436,1.828944,2.946388,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14758974522135515,False,
MOTOR-DC_2020_12_02_17_28_13_Analogico.hdf5,"02/12/2020 17:28:12,850",7918.139032,1.587059,2.955866,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16364295065635198,False,
MOTOR-DC_2020_12_02_17_28_17_Analogico.hdf5,"02/12/2020 17:28:17,219",7891.20051,1.278338,2.979877,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13684731332224154,False,
MOTOR-DC_2020_12_02_17_28_22_Analogico.hdf5,"02/12/2020 17:28:21,620",7906.535776,1.676175,2.95239,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16929190203582406,False,
MOTOR-DC_2020_12_02_17_28_26_Analogico.hdf5,"02/12/2020 17:28:26,019",7888.854175,1.459752,2.968819,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16261388908777957,False,
MOTOR-DC_2020_12_02_17_28_30_Analogico.hdf5,"02/12/2020 17:28:30,458",7887.003471,1.179675,2.997253,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.0963253231956746,False,
MOTOR-DC_2020_12_02_17_28_35_Analogico.hdf5,"02/12/2020 17:28:34,828",7835.195209,1.367454,2.979877,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13299996241521667,False,
MOTOR-DC_2020_12_02_17_28_39_Analogico.hdf5,"02/12/2020 17:28:39,219",7899.147225,1.774838,2.95239,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15853107690620705,False,
MOTOR-DC_2020_12_02_17_28_44_Analogico.hdf5,"02/12/2020 17:28:43,616",7877.662942,1.832127,2.94228,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.143898994869672,False,
MOTOR-DC_2020_12_02_17_28_48_Analogico.hdf5,"02/12/2020 17:28:48,016",7883.100965,1.513858,2.965344,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16344804300705057,False,
MOTOR-DC_2020_12_02_17_28_52_Analogico.hdf5,"02/12/2020 17:28:52,421",7935.684587,1.564781,2.963132,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15351400369624635,False,
MOTOR-DC_2020_12_02_17_28_57_Analogico.hdf5,"02/12/2020 17:28:56,819",7906.120721,1.628434,2.960289,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17362100025406912,False,
MOTOR-DC_2020_12_02_17_29_01_Analogico.hdf5,"02/12/2020 17:29:01,215",7909.001646,1.297435,2.975454,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13397928977782897,False,
MOTOR-DC_2020_12_02_17_29_06_Analogico.hdf5,"02/12/2020 17:29:05,626",7910.914111,1.669809,2.954286,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16729544632156162,False,
MOTOR-DC_2020_12_02_17_29_10_Analogico.hdf5,"02/12/2020 17:29:10,020",7914.258346,1.583877,2.959973,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16668696179881548,False,
MOTOR-DC_2020_12_02_17_29_14_Analogico.hdf5,"02/12/2020 17:29:14,418",7937.718361,1.4693,2.968187,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14906083191002695,False,
MOTOR-DC_2020_12_02_17_29_19_Analogico.hdf5,"02/12/2020 17:29:18,821",7887.616072,1.615704,2.958393,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17497887232227388,False,
MOTOR-DC_2020_12_02_17_29_23_Analogico.hdf5,"02/12/2020 17:29:23,217",7896.473973,1.609338,2.547678,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.011403493080055838,False,
MOTOR-DC_2020_12_02_17_29_28_Analogico.hdf5,"02/12/2020 17:29:27,619",7918.799121,1.265608,2.98114,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12689071027818233,False,
MOTOR-DC_2020_12_02_17_29_32_Analogico.hdf5,"02/12/2020 17:29:32,020",7960.39604,1.784386,2.946388,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13291490964938651,False,
MOTOR-DC_2020_12_02_17_29_36_Analogico.hdf5,"02/12/2020 17:29:36,416",7936.069102,1.663444,2.957129,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15676408160701827,False,
MOTOR-DC_2020_12_02_17_29_41_Analogico.hdf5,"02/12/2020 17:29:40,816",7894.724718,1.793934,2.940385,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14881746671523277,False,
MOTOR-DC_2020_12_02_17_29_45_Analogico.hdf5,"02/12/2020 17:29:45,221",7923.454894,1.485213,2.967555,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15852472041525073,False,
MOTOR-DC_2020_12_02_17_29_50_Analogico.hdf5,"02/12/2020 17:29:49,621",7955.266872,1.475665,2.968187,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1456538579423663,False,
MOTOR-DC_2020_12_02_17_29_54_Analogico.hdf5,"02/12/2020 17:29:54,015",7939.147381,1.405646,2.976085,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13420639639320858,False,
MOTOR-DC_2020_12_02_17_29_58_Analogico.hdf5,"02/12/2020 17:29:58,419",7893.382674,1.758925,2.944176,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15594701900628344,False,
MOTOR-DC_2020_12_02_17_30_03_Analogico.hdf5,"02/12/2020 17:30:02,816",7860.0,1.774838,2.954918,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1513045313885042,False,
MOTOR-DC_2020_12_02_17_30_07_Analogico.hdf5,"02/12/2020 17:30:07,226",7873.171864,1.625252,2.956182,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.171645448283114,False,
MOTOR-DC_2020_12_02_17_30_12_Analogico.hdf5,"02/12/2020 17:30:11,616",7890.775762,1.583877,2.959973,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17102343281531773,False,
MOTOR-DC_2020_12_02_17_30_16_Analogico.hdf5,"02/12/2020 17:30:16,016",7835.069175,1.641165,2.955866,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1534688140644912,False,
MOTOR-DC_2020_12_02_17_30_20_Analogico.hdf5,"02/12/2020 17:30:20,416",7919.087857,1.631617,2.955866,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16931212179301924,False,
MOTOR-DC_2020_12_02_17_30_25_Analogico.hdf5,"02/12/2020 17:30:24,821",7835.009597,1.71755,2.952074,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14810830688661175,False,
MOTOR-DC_2020_12_02_17_30_29_Analogico.hdf5,"02/12/2020 17:30:29,220",7833.849844,1.217867,2.986511,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.09675533115571316,False,
MOTOR-DC_2020_12_02_17_30_34_Analogico.hdf5,"02/12/2020 17:30:33,621",7858.603198,1.857588,2.941649,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12820311010069485,False,
MOTOR-DC_2020_12_02_17_30_38_Analogico.hdf5,"02/12/2020 17:30:38,018",7842.192803,1.816213,2.947019,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13284083280809356,False,
MOTOR-DC_2020_12_02_17_30_42_Analogico.hdf5,"02/12/2020 17:30:42,418",7887.780742,1.383367,2.968187,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15408374058587287,False,
MOTOR-DC_2020_12_02_17_30_47_Analogico.hdf5,"02/12/2020 17:30:46,817",7907.587255,1.571146,2.963132,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1668209578428289,False,
MOTOR-DC_2020_12_02_17_30_51_Analogico.hdf5,"02/12/2020 17:30:51,221",7907.491647,1.778021,2.947335,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15788302909863605,False,
MOTOR-DC_2020_12_02_17_30_56_Analogico.hdf5,"02/12/2020 17:30:55,620",7930.168705,1.666627,2.955866,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15965121735781318,False,
MOTOR-DC_2020_12_02_17_31_00_Analogico.hdf5,"02/12/2020 17:31:00,026",7876.565777,1.622069,2.957129,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1720515133546981,False,
MOTOR-DC_2020_12_02_17_31_04_Analogico.hdf5,"02/12/2020 17:31:04,421",7903.997615,1.513858,2.963764,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16057933019578668,False,
MOTOR-DC_2020_12_02_17_31_09_Analogico.hdf5,"02/12/2020 17:31:08,821",7889.856742,1.462934,2.969451,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16082660360221807,False,
MOTOR-DC_2020_12_02_17_31_13_Analogico.hdf5,"02/12/2020 17:31:13,223",7900.279392,1.217867,2.992514,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.10941604578855196,False,
MOTOR-DC_2020_12_02_17_31_18_Analogico.hdf5,"02/12/2020 17:31:17,617",7873.219001,1.679357,2.956813,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1680085256779873,False,
MOTOR-DC_2020_12_02_17_31_22_Analogico.hdf5,"02/12/2020 17:31:22,016",7951.204447,1.596607,2.959657,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1516501871692868,False,
MOTOR-DC_2020_12_02_17_31_26_Analogico.hdf5,"02/12/2020 17:31:26,417",7916.534914,1.768473,2.946388,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15684799580787567,False,
MOTOR-DC_2020_12_02_17_31_31_Analogico.hdf5,"02/12/2020 17:31:30,818",7886.095355,1.497944,2.966291,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1651212088350057,False,
MOTOR-DC_2020_12_02_17_31_35_Analogico.hdf5,"02/12/2020 17:31:35,220",7843.316858,1.431108,2.970399,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14641634736449405,False,
MOTOR-DC_2020_12_02_17_31_40_Analogico.hdf5,"02/12/2020 17:31:39,621",7877.757971,1.593425,2.961237,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17219169838925136,False,
MOTOR-DC_2020_12_02_17_31_44_Analogico.hdf5,"02/12/2020 17:31:44,025",7883.194484,1.580694,2.959657,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17081966752959898,False,
MOTOR-DC_2020_12_02_17_31_48_Analogico.hdf5,"02/12/2020 17:31:48,417",7895.42725,1.819396,2.94386,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1485295567359483,False,
MOTOR-DC_2020_12_02_17_31_53_Analogico.hdf5,"02/12/2020 17:31:52,822",7880.717437,1.287887,2.979877,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13500981726257566,False,
MOTOR-DC_2020_12_02_17_31_57_Analogico.hdf5,"02/12/2020 17:31:57,220",7879.923445,1.660261,2.953654,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16961955823075225,False,
MOTOR-DC_2020_12_02_17_32_02_Analogico.hdf5,"02/12/2020 17:32:01,621",7849.817278,1.669809,2.954602,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1581908806881701,False,
MOTOR-DC_2020_12_02_17_32_06_Analogico.hdf5,"02/12/2020 17:32:06,019",7827.312922,1.319713,2.973874,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12071569416855177,False,
MOTOR-DC_2020_12_02_17_32_10_Analogico.hdf5,"02/12/2020 17:32:10,426",7821.498297,1.76529,2.945756,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1319925492468283,False,
MOTOR-DC_2020_12_02_17_32_15_Analogico.hdf5,"02/12/2020 17:32:14,827",7821.036918,1.485213,2.96566,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14510291752988208,False,
MOTOR-DC_2020_12_02_17_32_19_Analogico.hdf5,"02/12/2020 17:32:19,224",7857.151121,1.631617,2.954286,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16687943103350938,False,
MOTOR-DC_2020_12_02_17_32_24_Analogico.hdf5,"02/12/2020 17:32:23,622",7860.947088,1.593425,2.960605,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16918861673696217,False,
MOTOR-DC_2020_12_02_17_32_28_Analogico.hdf5,"02/12/2020 17:32:28,023",7880.81998,1.803482,2.944492,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15310345672665387,False,
MOTOR-DC_2020_12_02_17_32_32_Analogico.hdf5,"02/12/2020 17:32:32,421",7850.07216,1.504309,2.964396,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15792494527275208,False,
MOTOR-DC_2020_12_02_17_32_37_Analogico.hdf5,"02/12/2020 17:32:36,822",7845.658886,1.778021,2.947651,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14339376812522886,False,
MOTOR-DC_2020_12_02_17_32_41_Analogico.hdf5,"02/12/2020 17:32:41,223",7904.863897,1.692088,2.949863,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16847574816170208,False,
MOTOR-DC_2020_12_02_17_32_46_Analogico.hdf5,"02/12/2020 17:32:45,621",7848.399825,1.402463,2.973242,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14612700420415076,False,
MOTOR-DC_2020_12_02_17_32_50_Analogico.hdf5,"02/12/2020 17:32:50,022",7881.979015,1.357906,2.95239,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14148903173756133,False,
MOTOR-DC_2020_12_02_17_32_54_Analogico.hdf5,"02/12/2020 17:32:54,438",7856.206089,1.437473,2.969451,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15247279387259566,False,
MOTOR-DC_2020_12_02_17_32_59_Analogico.hdf5,"02/12/2020 17:32:58,818",7897.330715,1.727098,2.946072,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16215859456470427,False,
MOTOR-DC_2020_12_02_17_33_03_Analogico.hdf5,"02/12/2020 17:33:03,219",7903.882434,1.809848,2.947335,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15331009837556797,False,
MOTOR-DC_2020_12_02_17_33_08_Analogico.hdf5,"02/12/2020 17:33:07,621",7909.452348,1.453386,2.967555,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16032621939786174,False,
MOTOR-DC_2020_12_02_17_33_12_Analogico.hdf5,"02/12/2020 17:33:12,019",7912.865644,1.672992,2.955234,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16693367693161326,False,
MOTOR-DC_2020_12_02_17_33_16_Analogico.hdf5,"02/12/2020 17:33:16,423",7879.779939,1.497944,2.968187,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1632157118214141,False,
MOTOR-DC_2020_12_02_17_33_21_Analogico.hdf5,"02/12/2020 17:33:20,817",7865.191726,1.135117,2.991882,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.0815948673119557,False,
MOTOR-DC_2020_12_02_17_33_25_Analogico.hdf5,"02/12/2020 17:33:25,224",7874.95619,1.752559,2.944808,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1586836712932571,False,
MOTOR-DC_2020_12_02_17_33_30_Analogico.hdf5,"02/12/2020 17:33:29,623",7910.122215,1.704819,2.950495,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1651614612502328,False,
MOTOR-DC_2020_12_02_17_33_34_Analogico.hdf5,"02/12/2020 17:33:34,022",7887.041049,1.590242,2.958393,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17330349022010255,False,
MOTOR-DC_2020_12_02_17_33_38_Analogico.hdf5,"02/12/2020 17:33:38,422",7878.067558,1.720732,2.947019,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16398028026008038,False,
MOTOR-DC_2020_12_02_17_33_43_Analogico.hdf5,"02/12/2020 17:33:42,823",7912.140942,1.679357,2.954602,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16699441391244052,False,
MOTOR-DC_2020_12_02_17_33_47_Analogico.hdf5,"02/12/2020 17:33:47,219",7892.527312,0.969618,3.000412,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.022239024545355757,False,
